"訪談日期","部門","new_GeneralInformation","new_Interviewer"
2017-09-11,"會本部. EBS","渠來電洽詢將於106.10.17於貿協台南辦事處舉辦之「2017年中南美洲商機研討會」是否有舉辦高雄場，經查詢後回覆廠商本處目前並無籌辦中南美洲商機相關之研討會，訪談過程中留下該廠商聯絡方式建檔，於未來籌辦中南美洲相關議題研討會時可優先通知渠。","林曆"
2017-09-11,"會本部. 市場拓展處","了解建大對自行車產業的發展及未來趨勢。","蕭君容"
2017-09-11,"會本部. 市場拓展處","訪談航翊科技總經理李紹強對自行車產業發展的看法及未來趨勢。","蕭君容"
2017-09-08,"會本部. EBS","陳先生9月8日來電，詢問貿協服務是否有包含法律諮詢服務，因為出一貨櫃至印度，但遭對方勒索，希望能尋求協助，以提供國貿局專門處理貿易糾紛的電話給陳先生連絡，另外也有提供張老師台商會連絡方式，該公司主要產品為鋁屬於金屬業，另外也提供陳先生本會的服務內容供參考。","陳先生"
2017-09-08,"會本部. 行銷專案處","珍珠奶茶暨休閒茶飲產業座談會會議紀錄一、時   間：106年8月29日(星期二)  下午4時00分至5時30分二、地   點：外貿協會601會議室（台北市基隆路1段333號6樓）三、主   席：外貿協會黃志芳董事長四、本會出席人員：黃志芳董事長、葉明水秘書長、王熙蒙副秘書長、行銷專案處陳英顯處長、食品行銷組吳致儀組長、食品行銷組許甘尾助專、食品行銷組陳怡君專員、食品行銷組林培瑜專員、食品行銷組黃馨儀小姐、服務業推廣中心李孟娟副主任、推廣三組范嘉玲組長五、主席致詞：珍珠奶茶為一國際化的產業，近年來在海外市場也逐漸嶄露頭角。除可樂與咖啡之外，珍珠奶茶的精緻茶飲文化也具發展成全球飲品的潛力。如貢茶赴韓國展店超過200家，發展相當成功，近年被韓國公司收購，可見珍珠奶茶的確是一個可以發揚光大、極具潛力的產業。配合政府新南向政策，本會除推廣貿易外，也協助業者海外產業布局及找尋通路合作夥伴，故希望透過本次座談會與業者交流，並瞭解本會可以協助之處。六、討論事項：（一）產業拓銷概況： 我國珍珠奶茶店海外連鎖拓銷前10大業者目前展店已至歐洲、北美洲、亞洲、非洲等4大洲，僅剩之南美洲今年六角國際公司將在哥倫比亞開幕第一家店。 我國擁有完整之珍珠奶茶產業供應鏈，也是珍珠原料的主要出口國，掌握該產業之技術及經營know how，具發展成國際化產業之利基。（二）拓銷經驗分享及建議： 東南亞的珍珠奶茶商機大，其中越南市場尚未飽和，且不要求清真認證，與會業者表示具發展空間。 建議可於台北國際食品展設置珍珠奶茶主題館或珍珠奶茶飲料大賽，另海外參展團亦可設置珍珠奶茶主題專區或產品發表會。 珍珠奶茶整店輸出，但出口市場仍有經營管理人才（如：店長）之需求。 珍珠奶茶可與觀光及文化議題搭配行銷，我國可參考日本Cool Japan計劃，由政府支持業者進行文化輸出、服務業輸出及升級等。（三）拓銷面臨問題：業者反映1. 衛生證明取得時間太長，耽誤交易 中部地區衛生證明核予權限開放給地方衛生局，惟北部地區申請仍要等很久（最長曾等到8個月）。=> 本會回覆：為配合衛福部抽驗時間，等待時間長。 本會之前已與衛福部反映，並提出績優廠商檢驗流程可以精簡之建議，目前衛福部對縮短發證時間已在研擬中。2. 高關稅導致產品價格較無競爭力 => 本會回覆：關稅因素非短時間可以解決，必須視為考量因素，如有需要，建議業者可以在地投資或合作。3. 新南向多數國家海關為人治，貨品難進 越南、印尼、印度等國海關採人治，法規僅供參考，貨品進關常需私下運作，否則易卡關。 各國海關清關需視進口商能力，但各家進口商清關能力不一，倘遇規模較小之進口商，清關能力不強。 =>本會回覆：各國海關屬我國較無法去干涉的一環，但建議業者可以累積海關清關的案例經驗，相互分享。4. 需要出口市場當地貿易相關資源的協助 連鎖加盟、技術轉移會遇到合約及法律問題，需要當地律師、會計師之資源。 海外開店需要當地裝潢工班的資源。 各國對食品原料、添加物規定不一，需要相關法規及提供法律協助的資源。=>本會回覆： 可由本會外館提供主要市場進口法規資訊，彙整後再提供業者參考。七、決議事項：1. 請行銷專案處食品行銷組籌組珍珠奶茶行銷聯盟，並請服務業推廣中心適時提供協助。2. 請展覽業務處於本(106)年高雄國際食品展先設珍珠奶茶主題館或辦理珍珠奶茶飲料大賽。","外貿協會黃志芳董事長"
2017-09-08,"會本部. 國際企業人才培訓中心","1. 新聿科技股份有限公司為被動元件電子零組件廠商, 目前主要客戶在台灣及大陸, 該公司在台灣及大陸有廠, 客戶包括鴻海等, 目前公司一年營銷達5億台幣, 希望經由貿協協助, 開拓其市場到歐美.2. 在Walton Micro-Teck Corporation戴志光代表引薦及陪同下,<U+51C3>俊宏副總,王湘茹經理及蔡惠鈴副理於9月5日到訪培訓中心, 總計2個議題尋求貿協之協助 (1)對於業務人才的需求(2)引薦通路商,代理商或經銷商, 使公司產品進入國外(美國為主)品牌商指定使用之電子零組件. 3. 因目前該類型中小企業出現人才斷層, 希望能經由培訓中心協助, 覓得經營台灣及大陸行銷,通路的業務人員及海外歐美經營通路商的業務人員, 會中除介紹培訓中心學員及訓練內容外, 提供該公司人才媒合及連絡人等相關訊息, 另對於該公司希望打入歐美品牌商市場, 當日已轉介國際行銷諮詢中心, 由顏貽彬副主任進行接待瞭解該公司需求及解說貿協服務.","張揚鴻主任, 鄭光堯組長"
2017-09-08,"會本部. EBS","1、永順利食品機械成立於1989年，專製造豆腐、豆奶、芽菜、苜蓿芽、素肉等食品機械設備的公司，該司積極開發應用技術，亦將電腦控制與監控導入生產設備。產品主要出口歐洲及亞洲。2、透過台灣經貿網電子報得知此訊，至本處參加印度市場關鍵報告分享說明會，冀望未來能開辦各國家地區的主題性說明會，例如歐洲、越南、馬來西亞及新加坡等地。3、該司希望能持續接收貿協各項資訊、課程訊息及服務。本處亦提供講座課程總表供渠參考。","楊巧玉"
2017-09-08,"會本部. EBS","1、僑大勤業位在台中市北屯區，從事手工具機械五金產業，產品主要用於汽車行業的汽車修理和專業更換市場。2、透過活動EDM得知此訊，至本處參加印度市場關鍵報告分享說明會，渠表獲益良多，增加對印度市場的瞭解與商機趨勢。3、對此次分享說明會表感肯定，冀望未來能開辦歐洲、日本、馬來西亞及新加坡等地主題性的說明會，該司將派員參加。4、本處提供講座課程供渠參考，後續將持續提供貿協各項資訊、課程訊息及服務。","楊巧玉"
2017-09-08,"會本部. EBS","1、金聖精密位在彰化縣和美鎮，專精於沖壓以及車<U+94E3>床及完整全製程代工OEM及ODM，屬五金及汽機車零配件廠商。產品主要出口國為美國、墨西哥及印度。2、透過他處得知此訊，至本處參加印度市場關鍵報告分享說明會，藉此瞭解該司的產品主要出口國之一的印度商機趨勢與市場分析。3、該司持續致力於機械、五金建材及家具產業深耕，希望未來能開辦北美、歐洲等地主題性的說明會。4、後續將持續提供貿協各項資訊、課程訊息及服務。","楊巧玉"
2017-09-08,"會本部. EBS","1、采潗國際位在台中市西屯區，從事美妝、化妝品批發產業，產品主要出口中國、香港等地區。2、因應公司未來拓展業務所需，該司派員至本處參加此次印度市場關鍵報告分享說明會，渠表對印度市場及電商商機有進一步的瞭解。3、該司未來有意欲瞭解美妝外的產業，像是對於文創、家用品及文具類別的產業有極高的興趣，朝多元發展。亦希望未來能參與新加坡、印尼及馬來西亞...等等國家市場的主題說明會，將派員參加。4、後續本處將持續提供貿協各項資訊、研討講座訊息及服務予該司。","楊巧玉"
2017-09-08,"會本部. EBS","1、東巍企業創立於1999年，位在台中市梧棲區，從事水龍頭和管道產品，屬五金產業的製造商；產品主出口美國為大宗。2、透過台灣經貿網得訊，至本處參加印度市場關鍵報告分享說明會，藉此瞭解印度市場商機及市場數據分析。3、此次獲益良多，希望未來能有北美、歐洲、紐澳等各地的市場說明會，亦建議能加強經貿網教學及培訓，讓會員能精準善用每項服務及資訊不漏接。4、該司冀望未來持需接收貿協各項資訊、課程訊息及服務。本處將持續提供。","楊巧玉"
2017-09-08,"會本部. EBS","1、坤茂貿易位在台中市西區，從事建材五金（螺絲、螺帽、鉚釘等金屬製品）及電子設備批發。該司產品主要外銷至歐、美、加三大地區。2、透過台灣經貿網電子報知訊，至本處參加印度市場關鍵報告分享說明會，渠表甚滿意，除了瞭解印度商機及市場趨勢外，也藉由實戰分享能間接瞭解拓銷可行性。3、該司致力於五金與汽機車零配件產業深耕，積極拓銷，期許未來能有歐洲、馬來西亞及越南等各地區的市場主題說明會，該司將派員參與。4、未來若有機會，其有意分享使用台灣經貿網促進商機成功經驗分享，本處亦持續提供貿協各項資訊、課程訊息及服務。","楊巧玉"
2017-09-08,"會本部. EBS","1、高益企業創力於1990年，先後開設中正廠〈二廠〉專門製做硬質膠粒及成功廠〈三廠〉專門生產醫療、食品級塑粒，有效的將軟質、硬質、醫療級、食品級分開個別生產製作；為品質把關設立檢驗部門購置多項檢驗儀器，該司致力於研發創新。主要出口國以印尼、緬甸及菲律賓等地。2、透過台灣經貿網官網得訊，至本處參加印度市場關鍵報告分享說明會，藉此瞭解印度市場發展及拓銷趨勢方法，渠獲益良多。3、該司未來有意欲接觸五金建材及照護生技等產業，也建議未來能開辦越南、泰國及馬來西亞等市場說明會，將派員前往參與。4、後續本處將持續提供貿協各項資訊、課程訊息及服務。","楊巧玉"
2017-09-08,"會本部. EBS","1、德技工業成立於1980年，初期生產工作母機，如銃床及專用機等的機器，之後再投入從事手工具的專業製造。2、透過台灣經貿網電子報得知此訊，至本處參加印度市場關鍵報告分享說明會，藉此機會瞭解印度市場及趨勢。3、此次印度市場關鍵報告分享說明會表感肯定，希望未來能有更多國家地區市場的主題說明會。4、後續本處將持續提供貿協各項資訊、課程訊息及服務。","楊巧玉"
2017-09-08,"會本部. EBS","1、清華大學印度中心(簡稱CIS) 成立於2017年，其宗旨為進行及提倡與印度相關研究，涵蓋印度政治、經濟、文化、社會、哲學、文學、語言等領域。在面對印度崛起的國際情勢，與配合國家發展的南向政策上，為使本校於該區域的研究上有更顯著的貢獻，特設立此中心。致力於成為台印雙邊政府部門、民營產業及學術機構之交流聯繫平台，晉升為國際級的學術研究單位。2、透過台灣經貿官網得知此訊，至本處參加印度市場關鍵報告分享說明會，進而瞭解印度市場及發展趨勢。3、未來有意接觸綠能、電子、通訊及周邊產業，致力維繫交流台印市場。4、後續本處持續提供貿協各項資訊、課程訊息及服務。","楊巧玉"
2017-09-08,"會本部. EBS","1、楨元成立於1991年，從事印度白檀粉、黏粉、精製棕櫚硬脂及白蠟等；產品主要輸出至香港及馬來西亞。2、透過貿協辦事處得知此訊，至本處參加印度市場關鍵報告分享說明會，增進對印度市場商機的趨勢分析。3、該司建議未來能開辦北美、歐洲及日本國家地區市場主題性的說明會，將派員參加。4、後續本處提供講座課程總表供渠參考，亦持續提供貿協各項資訊、課程訊息及服務。","楊巧玉"
2017-09-08,"會本部. EBS","1、超奕鑫實業成立於1985年，初期為台灣島內供應商、本土客戶從事鑽孔代工服務迄今，屬機械產業廠商。其1989至2016年間，CNC鑽孔深孔加工機外銷中國大陸,東南亞,歐洲..北美等。2、透過台灣經貿網電子報得知此訊，至本處參加印度市場關鍵報告分享說明會，渠對此次分享會表感滿意且講師分享及分析的內容充實。3、該司為經貿網會員，是有助於增加買主詢問並促進該司業基成長，對此表示肯定。4、後續本處提供講座課程總表供渠參考，亦持續提供貿協各項資訊、課程訊息及服務。","楊巧玉"
2017-09-08,"會本部. EBS","1、妙真軒雕佛社位在台中市中區，從事宗教民俗及宗教文物用品。2、透過台灣經貿網電子報得知此訊，至本處參加印度市場關鍵報告分享說明會，對印度市場趨勢有近一步的瞭解且內容受用。3、希望未來有北美、日本市場主題性的說明會。4、後續本處將持續提供貿協各項資訊、課程訊息及服務。","楊巧玉"
2017-09-08,"會本部. EBS","1、日鎂國際成立於2015年，從事建材五金（螺絲、螺帽、鉚釘等金屬製品）及其家庭用品設備批發，產品主要出口國家為美國。2、透過活動EDM得知此訊，至本處參加印度市場關鍵報告分享說明會，渠表感滿意且內容非常受用，對於瞭解印度市場及商機趨勢有很大的幫助。3、希望能未來有針對越南市場主題性的說明會，可主動聯繫通知，該司將派員參加。4、本處提供講座課程總表予渠參考，亦持續提供貿協各項資訊、課程訊息及服務。","楊巧玉"
2017-09-08,"會本部. EBS","1、洋基精工成立於2004年，從事建材五金（螺絲、螺帽、鉚釘等金屬製品）及其他辦公用機械器具批發，屬機械產業別的廠商。產品主要出口至越南、南美洲及西班牙等國家地區。過去曾參與多場採洽會，該司積極致力於對外拓銷。2、透過台灣經貿網電子報得知此訊，至本處參加印度市場關鍵報告分享說明會，一來可瞭解印度市場趨勢及商機，二來反觀審視自家產品前進印度市場的可行性，渠表對此分享說明會感到非常滿意。3、希望未來能開辦多場市場分析說明會，該司將派員參與；未來有機會的話，該司也有意願分享使用台灣經貿網促進商機的成功經驗。4、後續本處將持續提供貿協各項資訊、課程訊息及服務。","楊巧玉"
2017-09-08,"會本部. EBS","1、佳和食品成立於民國73年，初期生產水梨罐頭、草菇罐頭等農產品罐頭為主要營業項目； 之後轉型生產八寶粥、綠豆湯等調理罐頭。民國81年轉型生產罐裝飲料，再於民國85年起陸續投資了包裝水、熱充填、汽水、後殺飲料、杯水生產線等等,產品線包含了包裝水、 茶飲料、 汽水、傳統飲料、奶茶、 果汁、運動飲料等多元產品。該司屬農產及食品產業，主要外銷出口至大陸、紐澳等地。2、透過台灣經貿網官網知訊，至本處參加「印度市場關鍵報告」說明會，講師內容完整且豐富。3、除印度市場外，該司冀望未來能參加北美、歐洲、紐澳等市場說明會，以利該司對未來欲拓銷市場能有初步的認識。4、後續聯繫該司說明台灣經貿網服務及功能，亦持續提供貿協各項資訊、課程講座訓及服務。","楊巧玉"
2017-09-08,"會本部. EBS","1、隆翰興業位在台中市，從事銷售龍門型加工中心機,、立式/臥式加工中心機等，及相關刀具/零配件等產品及服務。以出口土耳其、阿根廷為主。該司致力於對外拓銷、拓展新市場。2、透過經貿網及辦事處得訊，至本處參加「印度市場關鍵報告」說明會，藉此了解印度市場概況及拓銷的可能性。3、該司屬機械產業，未來有意觸及汽機車及零配件、五金建材及家具類領域。4、冀望未來能有北美、歐洲、日本、印尼、越南及泰國的市場分析說明會，該司將派員參加。5、後續本處將持續提供貿協各項資訊、課程講座訊息及服務。","楊巧玉"
2017-09-08,"會本部. EBS","1、瑞信工業成立於1985年，從事生產機車配件為主。於1999年進而發展生產農業機械、自行車、運動器材、車布機等相關零件。同時在中國地區成立無鍚瑞信精密摩配有限公司。該司在汽機車零配件、自行車產業領域深耕，持續致力於研究開發，而眾多產品主要外銷日本地區。2、經台灣經貿網知訊，至本處參加「印度市場關鍵報告」說明會。對此說明會表感肯定，瞭解不少對印度市場的概況及趨勢發展。3、希望未來有機會參加北美、歐洲、紐澳等地市場的主題分析報告說明會。亦願意分享使用台灣經貿網促進商機的成功經驗。4、後續本處持續提供貿協各項資訊、課程訊息及服務。","楊巧玉"
2017-09-08,"會本部. EBS","1、鼎億自動化自1990年起相繼投入機械產業，從事各種精密減速機的研發、生產、設計、銷售，為國際貿易綜合發展為導向的公司。除台中外，台南及廈門皆有據點。2、渠至本處參加印度市場關鍵報告說明會，為瞭解印度市場發展的可能性及探究印度商機的總面向。3、雖以電子機械產業起家，但未來欲探醫療、照護及生技產業領域。冀望未來能開辦馬來西亞市場的說明會。4、該司希望能持續接收貿協各項資訊、課程訊息及服務，亦不排斥分享使用經貿網促進商機成功的經驗分享。","楊巧玉"
2017-09-08,"會本部. EBS","1、友詮興業從事建材五金（基本金屬）批發，其服務範圍包括工程設計、整合開發、品質管控、製程管理以及物流管理。產品主出口至日本、泰國、美國、歐洲及中東地區。2、該司曾參與過幾場展覽會及拓銷相關活動，此次透過活動EDM知其訊，至本處參加印度市場關鍵報告說明會，亦致於提高對印度市場拓銷的期待。3、未來極可能初探尚興趣的自行車及運動、農產食品等領域，渠建議能開辦日本、紐澳及新加坡...等各國市場說明會，廠商方可對海外市場能更全面性的拓銷分析與因應。4、對此次印度市場說明會甚感滿意，該司願意持續接收貿協各項資訊、研討講座訊息及服務。","楊巧玉"
2017-09-08,"會本部. EBS","1、越崎企業成立於1992年，屬五金、汽機車零配件產業，從生產氣動工具的小型工廠開始，主要出口國家為歐洲。2、該司曾參與過採洽展團及講座課程，此次透過辦事處得訊，至本處參加印度市場關鍵報告說明會。渠深表獲益良多，藉此了解印度電商市場及商機發展可能性。3、冀望未來能開辦多場海外市場主題說明會，亦可主動聯繫該司，將派員參加，以多方瞭解海外市場趨勢。4、後續本處持續提供貿協各項資訊、講座課程訊息及服務，亦提供年度課程總表予渠參考。","楊巧玉"
2017-09-07,"會本部. 資訊及數據中心","珍珠奶茶暨休閒茶飲產業座談會會議紀錄一、時   間：106年8月29日(星期二)  下午4時00分至5時30分二、地   點：外貿協會601會議室（台北市基隆路1段333號6樓）三、主   席：外貿協會黃志芳董事長四、出席人員：詳附件五、主席致詞：珍珠奶茶為一國際化的產業，近年來在海外市場也逐漸嶄露頭角。除可樂與咖啡之外，珍珠奶茶的精緻茶飲文化也具發展成全球飲品的潛力。如貢茶赴韓國展店超過200家，發展相當成功，近年被韓國公司收購，可見珍珠奶茶的確是一個可以發揚光大、極具潛力的產業。配合政府新南向政策，本會除推廣貿易外，也協助業者海外產業布局及找尋通路合作夥伴，故希望透過本次座談會與業者交流，並瞭解本會可以協助之處。六、討論事項：（一）產業拓銷概況：我國珍珠奶茶店海外連鎖拓銷前10大業者目前展店已至歐洲、北美洲、亞洲、非洲等4大洲，僅剩之南美洲今年六角國際公司將在哥倫比亞開幕第一家店。我國擁有完整之珍珠奶茶產業供應鏈，也是珍珠原料的主要出口國，掌握該產業之技術及經營know how，具發展成國際化產業之利基。（二）拓銷經驗分享及建議：東南亞的珍珠奶茶商機大，其中越南市場尚未飽和，且不要求清真認證，與會業者表示具發展空間。建議可於台北國際食品展設置珍珠奶茶主題館或珍珠奶茶飲料大賽，另海外參展團亦可設置珍珠奶茶主題專區或產品發表會。珍珠奶茶整店輸出，但出口市場仍有經營管理人才（如：店長）之需求。珍珠奶茶可與觀光及文化議題搭配行銷，我國可參考日本Cool Japan計劃，由政府支持業者進行文化輸出、服務業輸出及升級等。（三）拓銷面臨問題：業者反映本會回覆1.衛生證明取得時間太長，耽誤交易中部地區衛生證明核予權限開放給地方衛生局，惟北部地區申請仍要等很久（最長曾等到8個月）。為配合衛福部抽驗時間，等待時間長。本會之前已與衛福部反映，並提出績優廠商檢驗流程可以精簡之建議，目前衛福部對縮短發證時間已在研擬中。2.高關稅導致產品價格較無競爭力關稅因素非短時間可以解決，必須視為考量因素，如有需要，建議業者可以在地投資或合作。3.新南向多數國家海關為人治，貨品難進越南、印尼、印度等國海關採人治，法規僅供參考，貨品進關常需私下運作，否則易卡關。各國海關清關需視進口商能力，但各家進口商清關能力不一，倘遇規模較小之進口商，清關能力不強。各國海關屬我國較無法去干涉的一環，但建議業者可以累積海關清關的案例經驗，相互分享。4.需要出口市場當地貿易相關資源的協助連鎖加盟、技術轉移會遇到合約及法律問題，需要當地律師、會計師之資源。海外開店需要當地裝潢工班的資源。各國對食品原料、添加物規定不一，需要相關法規及提供法律協助的資源。可由本會外館提供主要市場進口法規資訊，彙整後再提供業者參考。七、決議事項：1.請行銷專案處食品行銷組籌組珍珠奶茶行銷聯盟，並請服務業推廣中心適時提供協助。2.請展覽業務處於本(106)年高雄國際食品展先設珍珠奶茶主題館或辦理珍珠奶茶飲料大賽。","外貿協會黃志芳董事長"
2017-09-07,"會本部. 台北國際展會營運中心","1. 近年聯合報與上聯的美容展展期間隔太近，已造成參展商和觀眾的混淆與誤解。孫總經理請本會將兩展檔期調整至合適之間隔。2. 展覽中心說明，上聯係自2014年起在原「健康博覽會」下舉辦「醫學美容展」，後因法令禁止以「醫學美容」為展出項目方演變為現今之「美容美體展」，該主題迄今已舉辦4屆；又，2015年9月中華民國展覽暨會議商業同業公會召開會議始達成「同性質展覽應間隔至少一個月」之共識，當時上聯美容展已舉辦兩屆。                                                    3.展覽中心對本案之處理方式：                                                     (1)刻就同主題展覽之展名與檔期規則完善相關規範，期能改善展覽業界不當之惡性競爭，共同提高展覽品質及形象。                                                 (2)2018檔期已難調整，但將留意不讓上聯美容展新增美甲美睫等題目(聯合報美容展下亦有美甲美睫展)。                                                         (3)2019年檔期將自本年11月起開始申請，本會將設法將二展檔期拉遠。","羅主任明植、白組長潤怡、莫助理專員非"
2017-09-07,"會本部. 國際企業人才培訓中心","中貿國際肩負中鋼集團國際事務與業務核心之責任，對各國財經、產業及市場發展動向長期追蹤掌握，亦逐步建構全球性綿密的行銷網路，以提供客戶即時而完善的供應鏈服務。考量東協市場發展潛力及配合國家新南向政策，中貿國際此次透過培訓中心居間引介，除實地拜會馬尼拉台貿中心，亦與當地鋼鐵業者接軌及考察菲律賓當地市場，對於投資設立據點需注意事項、設立流程、人力成本及當地鋼鐵業現況等多面向議題進行評估與了解。中貿國際對於此次考察成果表示滿意，將後續評估設立據點之可行性，並感謝馬尼拉台貿中心及本中心協助。","梁勝威"
2017-09-07,"會本部. EBS","1.該公司配合政府南向政策規劃前往越南平陽省(位於胡志明北方)投資設立生產據點，徐總經理規劃透過友人介紹得知本會可協助延攬海外人才。2.目前提供已提供的資訊有:(1)contact taiwan 網址(https://www.contacttaiwan.tw/main/index.aspx)讓對方上網加入會員後再填寫需求(2)2017年僑外生在台就業媒合會，全省僅剩1場辦理時間及地點為9/29台北場(3)11/20-11/25台灣赴泰國及越南攬才團承辦人連絡方式","劉婉蓉"
2017-09-07,"會本部. EBS","黃金蕎麥多年來積極參與本會國內外食品產業國際拓銷活動，目前在玉井、仁德設廠，生產一系列蕎麥產品。今年報名參加高雄食品展時，接獲詐騙公司打著本會專業展之名義對廠商請廠商更新「廠商名錄」資料，廠商回傳更新表格及同意書之後，就收到索款通知，要求繳交高額費用，目前已接到數十封騷擾、恐嚇的電子郵件。本處將本會對於詐騙公司的公告提供給張經理，只要接獲以下公司( Event Fair、 Expo Guide、 FairGuide.com、 Construct Data Verlag、 International Fairs Directory )的來信，建議毋需理會，後續不要再與對方書信或電話往來。","陳玫伶"
2017-09-07,"會本部. 國際企業人才培訓中心","1.目前已知2名校友任職該公司國外業務相關工作,英語組的蔡明峰及蔡欣偉。2.自開始耕耘東南亞市場已近30年，因台灣人士具東南亞語專才者不多，故多聘用在台國外業務人員，搭配當地華裔人士或曾在台灣留學的當地人士推動在該市場業務。3.因該公司多為B&B，故目前該公司極少運用數位行銷。","楊春芳組長"
2017-09-07,"會本部. EBS","公司主要產品為吹袋機  1988年成立 OEM製造2010該公司從OEM製造商成功轉型為優質品牌企業主要出口歐美國家  目前為臺灣經貿網會員日前參加台南辦事處商品定價策略課程，對本次活動評價很滿意營業型態: 出口商、製造商","楊雅棻"
2017-09-07,"會本部. EBS","公司主要產品為台灣&世界產地紅茶、現泡瓶裝精緻紅茶、創意包裝紅茶茶禮日前參加台南辦事處商品定價策略課程，對本次活動評價很滿意拓銷市場的方式: 網路行銷目前有自己的官網，不需要經貿網服務","楊雅棻"
2017-09-07,"會本部. EBS","1. 本處將在2017/09/21 舉辦2017臺南生技採購洽談會, 基於買主採購需求與該司的產品符合2. 邀請該司參加此次洽談會, 該司以於9/7報名參加該洽談, 並預計與4家廠商洽談","程議鋐"
2017-09-07,"會本部. EBS","1. 台灣虛擬及擴增實境產業協會代領會員廠商參加眾多國內舉辦之展覽2. 例如: 105年資訊月展會「虛擬道場」主題館; 2017 台北國際電玩展; 2017春季電腦展「虛擬遊樂園」主題館; Computex 2017 台灣ARVR創新應用互動展3. 就以參展效益來說，以主題館呈現的方式的展覽效果最好，例如InnoVEX新創特區4. 協會出版白皮書，最後面有部份會員廠商資料https://www.slideshare.net/twtavar/2016-tavar5. 歡迎貿協來訪進一步洽談合作模式。","盧育慶"
2017-09-07,"會本部. 市場拓展處",NA,"王于薇"
2017-09-07,"會本部. EBS","1. 該公司由銷售烤甘藷、冷凍烤甘藷起家，至今產品項目已擴大至36種以甘藷為主題的產品，包括甘藷麵條、甘藷燒酒等，也是全台3,000多家全家便利商店地瓜的供應商。2. 該公司以參加國外展覽方式拓銷海外市場，今(2017)年透過台南市政府參展團參加本會籌組的東京國際食品展(Foodex Japan2017)、 泰國國際食品展(THAIFEX 2017)及越南國際食品暨食品機械展(Foodexpo VIETNAM 2017)，產品行銷日本、美國、加拿大、中國大陸、越南、泰國、澳大利亞、紐西蘭等國。3.邱董事長表示為擴大東協市場，降低出口至當地之關稅，該公司刻正評估於東協市場設廠可行性。初期，該公司擬於新加坡設置營運據點，透過臺星經濟夥伴協定，將產品出口至新加坡，再轉出口至馬來西亞，進行外包裝加工後銷售，希本會提供東協各國投資設廠諮詢服務。另希望提供日本2020年夏季奧林匹克運動會(東京奧運)伙食之得標商相關資訊，俾取得相關商機。4. 其他資訊:(1)該公司目前擁有甘藷契作種植面積1,000公頃，每年可產出3.5萬頓甘藷。除了透過神農系統及雲端系統對生產狀況進行管理外，該公司亦對甘藷品種進行研究改良，並透過實驗室控制培植甘藷種苗供其契作農民使用，確保甘藷品質及應因市場需求調整甘藷甜度(e.g, 越南市場喜好甜度較台灣市場高出20%甜度的甘藷)(2)該公司產品於2011年已取得食品碳標籤(3)拜訪當日，瓜瓜園與國際冷凍食品大廠麥肯(McCain)洽談合作方案。同日，台農發(股)亦將陪同史瓦濟蘭前政府官員拜會瓜瓜園。(4)人員關係: A. 生鮮部邱裕翔副總經理為邱董事長兒子，負責海外市場開發;  B. 研發部余宛蓁經理為邱副總兒子, C. 陳金柱總經理、生產部陳清源經理則為邱家好友，並與邱裕翔副總經理兒時玩伴。","周秀芬主任、許伯禕專員、姚文龍技術員"
2017-09-06,"會本部. EBS","1.蘇氏公司營業項目為服飾配件成立已有20多年，主要產品有花邊、刺繡產品、鈕釦、飾品、皮帶頭、緞帶.......等，林林總總約計有10萬餘件的產品。為配合流行趨勢，平均每年自行或配合客戶開發至少3,000件的產品供客戶選擇。主要客戶多以北歐6國及美國的為主，2008-2010間曾多次參加本會所籌組的印尼萬隆紡織及製衣機械展參展及瓜地馬拉紡織成衣布料暨設備展等。2.據蘇總經理表示北歐國家的訂單的特性是量少、質精、多樣、價錢好，該公司營運完全符合前述特性。3.目前該公司的經營模式有2種，(1)由北歐的設計師提供設計圖，再由渠等依據圖面開發配件。宥於Made in Europe的服飾在當地的售價相對高檔，客戶將生產據點選定在波蘭，待配件產品完成後，再以空運方式寄送至波蘭；故而運送費佔成本的比重極高，目前正在尋找替代方式以降低運送費。(2)另一種模式為自行開發產品後提供給客戶挑選。美國市場的客戶為美國知名品牌manhattan beachwear(泳衣)的配件，生產基地在匈牙利。4.蘇總表示，2016年對全球經濟而言，艱困又悲觀，2017年似無好轉的跡象。對於2018年也不太看好經濟復甦。","劉婉蓉"
