dataId,query,mainText,showId,Score,ScoreStd
1,3rd International Cafe Equipment Supplies & Technology Exhibition(Cafe Malaysia 2017) http://cafe-malaysia.com/en/page/53/exhibitor-listing-2017.html,3rd International Cafe Equipment Supplies & Technology Exhibition(Cafe Malaysia 2017) http://cafe-malaysia.com,35,2.35963632853,0.147477270533
2,AGRAme http://www.agramiddleeast.com/en/Exhibitors/2017-Exhibitor-List/2017-Exhibitor-List/,Agra Middle East 2017(AGRAme) http://www.agramiddleeast.com/en/Exhibitors/2017-Exhibitor-List/2017-Exhibitor-List/,6375,2.34654166194,0.234654166194
3,Interphex 2017 - International Pharmaceutical Expo(Interphex 2017) http://www.interphex.com/Show-Info/Exhibitor-List/#,Interphex 2017 - International Pharmaceutical Expo(Interphex 2017) http://www.interphex.com/,696,1.75897691536,0.146581409613
4,29th Techno-Classica Essen http://nfm-tce.de/en/exhibitors-details/exhibitors/letter/all/xoffset/0,29th Techno-Classica Essen http://www.siha.de/,495,1.96745476469,0.178859524063
5,Optical Measurement & Positioning EXPO 2017(Positioning EXPO) https://www.opie.jp/list/?en=en,Optical Measurement & Positioning EXPO 2016 http://www.opie.jp/pe/,967,2.04501661266,0.185910601151
6,International Fine Food and Beverage Fair(31st Salon de Gourmets ) http://www.salondegourmets.com/salondeGourmets2017/en/Company/Search,International Fine Food and Beverage Fair(30th Salon de Gourmets ) https://www.gourmets.net/salon/,1009,2.24942170775,0.149961447183
7,"Expo Clean for Commercial Properties and Hotels 2017(China Clean Expo 2017, CCE 2017) https://www.jetro.go.jp/j-messe/tradefair_en/ChinaClean_52756","Expo Clean for Commercial Properties and Hotels 2017(China Clean Expo 2017, CCE 2017) http://www.chinacleanexpo.com",1038,2.7335471961,0.170846699756
8,Factory & Production Status Visualization https://jmacv.herokuapp.com/mente2017/webguide/search?language=en,Factory & Production Status Visualization http://www.jma.or.jp/seisan/,1623,1.55831267865,0.173145853183
9,DELHI Machine Tool Expo 2017 http://www.mtx.co.in/delhi/index.php?page=exhibitors,DELHI Machine Tool Expo 2017 http://www.mtx.co.in,1667,2.74919509727,0.196371078377
10,International Fashion Jewellery and Accessories Trade Fair(BISUTEX) http://appcatalogo.ifema.es/waCatalogoWeb/index.html?feria=BS17&idioma=en#LEMPRESAS&p=1&t=TODO,International Fashion Jewellery and Accessories Trade Fair(BISUTEX) http://www.ifema.es/bisutex_06/,196,2.56674406156,0.171116270771
11,ISSA/INTERCLEAN Amsterdam https://www.intercleanshow.com/products-and-services,ISSA/INTERCLEAN Amsterdam http://www.issainterclean.com/,1716,1.56716943073,0.174129936748
12,MEAT-TECH 2018 http://www.ipackima.com/en/catalogo-0,MEAT-TECH 2018 http://www.meat-tech.it,6538,1.6463663633,0.235195194758
13,Hardware + Tools Middle East http://www.hardwaretoolsme.com/frankfurt/300/messe-frankfurt/for-visitors/exhibitors-products.aspx,Hardware + Tools Middle East 2017 http://www.hardwaretoolsme.com/,6378,2.35560023154,0.147225014471
14,InfoComm USA http://av-iq.infocommshow.org/avcat/ctl2861/,InfoComm 2014 http://www.infocommshow.org/,1436,1.65937473583,0.331874947166
15,"Gulfood Manufacturing - Ingredients, Processing & Packaging, Food Logistics (Nov.) http://www.gulfoodmanufacturing.com/exhibitors",Gulfood Manufacturing http://www.gulfoodmanufacturing.com/,6205,1.92415791115,0.148012147011
16,DEAL - Dubai Entertainment Amusement & Leisure Show http://www.dealmiddleeastshow.com/2017/exhibitor-list-2017.php,DEAL - Dubai Entertainment Amusement & Leisure Show http://www.dealmiddleeastshow.com/,6380,2.69835544057,0.192739674326
17,ADIPEC http://exhibitors2016.adipec.com/,ADIPEC-Abu Dhabi International Petroleum Exhibition and Conference https://www.adipec.com/,6381,0.833394729267,0.277798243089
18,Automechanika Buenos Aires http://automechanika.ar.messefrankfurt.com/buenosaires/en/visitors/exhibitors-list.html,Automechanika Buenos Aires http://www.automechanika.com.ar/,3680,2.05848802359,0.171540668633
19,"AUTOMEC - HEAVY & COMMERCIAL - International Trade Fair Specialized in Autoparts, Equipments and Services for Vehicles  http://www.automecfeira.com.br/en/Planner/Exhibitors/?preload%5B13576646%5D=direct#","3rd International Trade  Fair Specialized in Autoparts, Equipment and Services for  Vehicles(Automec 2012 Heavy & Commercial) http://www.automecpesados.com.br/",1013,3.15306926931,0.137089968231
20,House & Gift Fair South America https://www.homeandgift.co.uk/exhibitors,Home & Gift 2012 http://www.homeandgift.co.uk,1617,1.82363869969,0.165785336335
21,FISP / FISST http://www.fispvirtual.com.br/16/en/lista-de-expositores/,FISP - International Fair of Security and Protection(FISP) http://www.fispvirtual.com.br/,3295,1.53408257455,0.170453619394
22,Swiss Tech http://www.swisstech-messe.ch/htm/ausstellerliste.htm,"International trade fair for materials, components and system building(SWISSTECH) http://www.swisstech-messe.ch",3718,1.34914004078,0.168642505098
23,EXPONOR http://www.exponor.cl/ingles/exponen.html,Export Home 2017 http://www.exporthome.exponor.pt/,314,0.605704617736,0.100950769623
24,CIPS - China International Pet Show - International Pet and Aquarium trade show in Asia http://en.cipscom.com/exhibitor/,21st China International Pet Show (CIPS 2017) http://en.cipscom.com/,3688,2.31054796195,0.154036530797
25,Analytica China http://www.analyticachina.com/media/website/files/pdf/exhibitor-list.pdf,analytica China 2018 http://www.analyticachina.com,3330,1.79800136759,0.163454669781
