dataId,query,matchResult,showId,Score,ScoreStd,hit1,hitw1,contain_hit1,hit2,hitw2,contain_hit2
1,EUROBIKE - International Bicycle Trade Exhibition,EUROBIKE 2014-http://www.eurobike-show.de/,2221,0.806544211801,0.16130884236,eurobike,9.09894674894,True,bicycle,8.40579956838,False
2,OutDoor - European Outdoor Trade Fair(European Outdoor),Asia Outdoor Trade Show 2012-http://www.asian-outdoor.com/,1567,0.860738236939,0.215184559235,outdoor,6.65659971357,True,european,6.42479809952,False
3,SPEZI - International Special Bikes Show,Asia Bike Trade Show-http://www.asiabike-show.com/,6382,0.781301278833,0.195325319708,special,7.71265238782,False,bike,7.3941986567,True
4,COTECA - Tea Coffee Cocoa Global Industry Expo,International Coffee & Tea Industry Expo 2014(ICT Expo 2014)-http://www.intlcoffeeteaexpo.com/,4568,1.24798705777,0.249597411554,coffee,7.59486935217,True,tea,7.48950883651,True
5,"INTERGEO - Conference and Trade Fair for Geodesy, Geoinformation and Land Management","International Conference and Trade Fair for Geodesy, Geoinformation and Land Management(INTERGEO)-http://www.intergeo.de",3343,2.54275232523,0.317844040654,geoinformation,9.09894674894,True,geodesy,9.09894674894,True
6,"SMM- shipbuilding, machinery & marine technology international trade fair hamburg","SMM India - shipbuilding, machinery & marine technology trade fair(SMM India 2013)-http://smm-india.com/",6240,2.29212097836,0.254680108707,smm,8.69348164084,True,shipbuilding,8.00033446028,True
7,WORLD PM Congress and Exhibition,World Renewable Energy Technology Congress (WRETC 2012)-http://www.wretc.in/,4275,0.679962862435,0.226654287478,congress,5.64895920311,True,world,4.54506985734,True
8,AGRITECHNICA - International DLG Exhibition for Agricultural Machinery ,AGRITECHNICA 2013 - International Exhibition for Agricultural Machinery(AGRITECHNICA)-http://www.agritechnica.com/home-en.html,1943,1.67565358372,0.279275597287,dlg,9.09894674894,False,agritechnica,8.69348164084,True
9,CeBIT - Heart of the digital world,CeBIT 2012(CeBIT 2012)-http://www.cebit.de,680,0.845911039635,0.211477759909,heart,9.09894674894,False,cebit,8.18265601707,True
10,CeMAT Hannover - The World's leading Fair for Intralogistics,CeMAT@transportlogistic-http://www.transportlogistic.de/en/Exhibitors/intralogistics,2050,0.934128751928,0.155688125321,intralogistics,8.18265601707,True,hannover,7.84618378045,False
