dataId,query,matchResult,showId,Score,ScoreStd,hit1,hitw1,contain_hit1,hit2,hitw2,contain_hit2
1,Mega Show Part 1 - Hongkong Gifts Premium & Household Products Show & International Toys & Gifts Show,MEGA SHOW PART 1 & 2(21th Hong Kong International Toys & Gifts Show and 20th Asian Gifts Premium & Household Products Show)(MEGA SHOW PART 1& 2),2263,2.16854581218,0.216854581218,hongkong,9.0974262986,False,mega,7.59334890182,True
2,INTERNATIONALE EISENWARENMESSE -  INTERNATIONAL HARDWARE FAIR COLOGNE ,INTERNATIONAL HARDWARE FAIR COLOGNE,2011,1.7818194502,0.296969908367,eisenwarenmesse,9.0974262986,False,cologne,7.48798838616,True
3,ISM - International Sweets and Biscuits Fair,ISM - International Sweets and Biscuits Fair Cologne(ISM),179,1.78836111942,0.357672223883,ism,9.0974262986,True,biscuits,9.0974262986,True
4,Kind + Jugend - The Trade Show for Kids  First Years,International Baby to Teenager Fair Cologne(Kind + Jugend ),2235,0.96217164566,0.160361940943,jugend,9.0974262986,True,kind,9.0974262986,True
5,ORGATEC - Modern Office & Facility,ORGATEC - Modern Office & Object (ORGATEC),2243,1.45482018857,0.363705047143,orgatec,9.0974262986,True,facility,7.30566682937,False
6,PHOTOKINA- world of imaging,photokina - world of imaging (photokina 2012),2183,1.64244586321,0.547481954404,photokina,9.0974262986,True,image,7.15151614954,True
7,PMRExpo - Professional Mobile Radio and Command & Control Centres,Control China 2012,4281,0.842301501374,0.210575375344,radio,9.0974262986,False,professional,7.01798475692,False
8,Professional MotorSport World Expo,Professional MotorSport World Expo 2014,3664,1.77778181164,0.444445452911,motorsport,9.0974262986,True,professional,7.01798475692,True
9,ProSweets Cologne ,INTERNATIONAL HARDWARE FAIR COLOGNE,2011,0.711209889241,0.35560494462,prosweets,9.0974262986,False,cologne,7.48798838616,True
10,"Spoga + Gafa (Herbst/autumn) - The garden trade fair, Cologne",spoga + gafa 2012 - The Garden Trade Fair (spoga + gafa 2012),2241,2.02718748716,0.289598212452,gafa,9.0974262986,True,spoga,8.40427911804,True
11,Spoga horse (Fruhjahr/Autumn) - International Trade Fair for Equestrian Sports,International Trade Fair for Equestrian Sports(spoga horse ),2342,2.39462081552,0.29932760194,horse,8.40427911804,True,spoga,8.40427911804,True
12,spoga horse (Fruhjahr/spring) - International Trade Fair for Equestrian Sports,International Trade Fair for Equestrian Sports(spoga horse ),2342,2.39462081552,0.29932760194,horse,8.40427911804,True,spoga,8.40427911804,True
13,"A + A - Safety, Security and Health at Work. International Trade Fair with Congress and Special Events(A+A)","Safety, Security and Health at Work International Trade Fair with Congress(A+A 2015)",1878,2.58501642511,0.258501642511,special,7.71113193748,False,events,7.71113193748,False
14,ALUMINIUM - World Trade Fair & Conference,ALUMINIUM 2012 - 9th World Trade Fair & Conference(ALUMINIUM 2012),3834,1.82730260184,0.365460520367,aluminium,7.71113193748,True,world,4.57563772155,True
15,BEAUTY DUSSELDORF,BEAUTY INTERNATIONAL (Beauty International ),801,0.937664656517,0.937664656517,beauty,5.43386465247,True,beauty,5.43386465247,True
16,Boot-Dusseldorf - International Boat Show,International Boat Exhibition(International Boat Show),4009,1.48597659287,0.371494148217,boot,9.0974262986,False,boat,6.07700141245,True
17,CARAVAN SALON DUSSELDORF - The No. 1 Show for motor homes and caravans,8th trade Fair for Motor Homes and Caravans(FOR CARAVAN),5582,1.42556271697,0.285112543395,caravan,8.18113556672,True,motor,6.35658627467,True
18,COMPAMED - High tech solutions for medical technology - Internation Trade Fair,"International Trade Fair Components, Parts and Raw Materials for Medical Manufacturing (ComPaMED)",2174,1.17278392187,0.130309324652,compamed,9.0974262986,True,internation,9.0974262986,True
19,DRUPA Dusseldorf,"drupa - World Market Print Media, Publishing & Converting Exhibition(drupa 2012 - print media messe )",2669,0.447532225966,0.447532225966,drupa,9.0974262986,True,drupa,9.0974262986,True
20,ECOC Germany - The European Conference and Exhibiton on Optical Communication,World Optical Fair 2012,907,0.775727172721,0.155145434544,exhibiton,7.99881400993,False,communication,7.15151614954,False
21,EuroMold ,"World Fair for Moldmaking and Tooling, Design and Application Development (EuroMold 2012)",3532,0.478848249366,0.478848249366,euromold,9.0974262986,True,euromold,9.0974262986,True
22,EuroShop (EuroCIS),International Trade Fair for IT and Security in Retail(EuroCIS           ),2006,0.677371729161,0.338685864581,euroshop,9.0974262986,False,eurocis,9.0974262986,True
23,"Glasstec - International Trade Fair For Glass Production, Processing, Products","glasstec - International trade fair for glass production, processing, products(glasstec 2014)",2120,2.52808158884,0.316010198604,glasstec,8.69196119049,True,glass,7.08252327805,True
24,K Trade Fair,A&T - International trade fair for the manufacturing industry,6528,0.754325907804,0.377162953902,trade,3.43968776244,True,fair,2.64537734416,True
25,China (Shenyang) International Tea and Tea Ceremony Exhibition(),The 14th China Shenyang International Agriculture Exhibition(SCIAE),4893,1.0360307737,0.207206154739,shenyang,7.99881400993,True,tea,7.48798838616,False
26,China International Oral Equipment Exhibition,China (Shanghai) International Medical Equipment Exhibition,2887,1.24146355522,0.248292711043,oral,9.0974262986,False,equipment,4.0867910045,True
27,AUTOMATION International Industrial Control and Automation Show for South China,16th South China International Exhibition of Industrial Automation,4788,1.81049663319,0.258642376169,control,6.57169765429,False,south,5.78324029392,True
28,"China (Shenzhen) International Gifts, Handicrafts, Watches & Houseware Fair (Autumn)// ()","The 21st China (Shenzhen) International Gifts, Handicrafts, Watches & Houseware Fair(GIFTS & HOME CHINA SPRING)",2566,2.24307374939,0.249230416598,handicrafts,7.8446633301,True,houseware,7.2256241217,True
29,"China (Shenzhen) International Gifts, Handicrafts, Watches & Houseware Fair (Spring)()()","The 21st China (Shenzhen) International Gifts, Handicrafts, Watches & Houseware Fair(GIFTS & HOME CHINA SPRING)",2566,2.51949971694,0.279944412993,handicrafts,7.8446633301,True,houseware,7.2256241217,True
30,China (Shenzhen) International Touchscreen Exhibition (Nov.)()(),Shenzhen International Touchscreen Exhibition(C-touch Shenzhen),3815,1.40456173566,0.23409362261,nov,9.0974262986,False,touchscreen,9.0974262986,True
31,China (Shenzhen) International Touchscreen Exhibition(),Shenzhen International Touchscreen Exhibition(C-touch Shenzhen),3815,1.40456173566,0.280912347132,touchscreen,9.0974262986,True,shenzhen,6.49473661315,True
32,China International Digital Signage & Touch Inquiry Technology (Shenzhen) Exhibition(),Shenzhen International Touchscreen Exhibition(C-touch Shenzhen),3815,1.35629149003,0.169536436253,touch,8.40427911804,True,signage,8.40427911804,False
33,China International Public Security Expo (Shenzhen),The 11th China International Exhibition on Public Safety & Security  (Security China 2012),3523,1.36239245071,0.227065408452,public,7.2256241217,True,shenzhen,6.49473661315,False
