1,"THE 5TH INTERNATIONAL EXHIBITION OF NUTS, DRIED FRUITS & RELATED INDUSTRIES(IRANNUTEX 2018) http://www.irannutex.ir",The 5th International Exhibition of Electricity and Telecommunication Industry http://www.sayaco.ir,5995,1.36507233259
2,Philadelphia Gift Show http://www.philadelphiagiftshow.com/,Philadelphia Gift Show http://www.philadelphiagiftshow.com/,2816,2.11490539073
3,Motorcycle Show Calgary http://www.calgarymotorcycleshow.ca,Motorcycle Show Calgary http://www.calgarymotorcycleshow.ca,7,2.2674955683
4,MOTORCYCLE SUPERSHOW - North American International Motorcycle Supershow http://www.motorcyclesupershow.ca/,North American International Motorcycle Supershow(MOTORCYCLE SUPERSHOW) http://www.motorcyclesupershow.ca/,6,2.41822410875
5,Intermezzo Collections http://www.ubmfashion.com/shows/intermezzo-collections-1,Intermezzo Collections http://www.ubmfashion.com/shows/intermezzo-collections/#,6327,2.02224896618
6,FAME http://www.ubmfashion.com/shows/fame-1.5,FAME http://www.ubmfashion.com/shows/Fame-1,6330,1.82292994292
7,MODA http://www.ubmfashion.com/shows/Moda-1.5,MODA http://www.ubmfashion.com/shows/Moda-1,6334,1.84090209893
8,44th Hong Kong Toys & Games Fair http://www.hktdc.com/fair/hktoyfair-en/,43rd Hong Kong Toys & Games Fair http://www.hktdc.com/fair/hktoyfair-en/,20,2.68144844083
9,9th Hong Kong Baby Products Fair http://www.hktdc.com/fair/hkbabyfair-en/,Hong Kong Baby Products Fair http://www.hktdc.com/fair/hkbabyfair-en/,22,2.92814686417
10,Hong Kong International Stationery Fair(HKISF) http://www.hkstationeryfair.com,Hong Kong International Stationery Fair 2017(HKISF) http://www.hkstationeryfair.com,16,2.5354361968
11,Hong Kong International Licensing Show 2018 http://www.hktdc.com/fair/hklicensingshow-en/,Hong Kong International Licensing Show 2017 http://www.hktdc.com/fair/hklicensingshow-en/,17,2.88842290174
12,KBIS 2018 - Kitchen & Bath Industry Show http://www.kbis.com,Kitchen & Bath Industry Show(KBIS 2016) http://www.kbis.com,26,2.01378084449
13,PSI 2018 - Leading European Trade Show of the Promotional Product Industry http://www.psi-messe.com/,Leading European Trade Show of the Promotional Products Industry(PSI 2016) http://www.psi-messe.com/,28,2.72621984141
14,Pitti Uomo 93 http://www.pittimmagine.com/,Pitti Uomo 89 http://www.pittimmagine.com/,25,1.59238744208
15,Heimtextil http://heimtextil.messefrankfurt.com/,Heimtextil http://heimtextil.messefrankfurt.com/,24,1.42006866466
16,CES 2018 - International Consumer Electronics Show http://www.CESweb.org/,International Consumer Electronics Show(2014 International CES) http://www.cesweb.org/,2,2.55423132265
17,"CHICAGO Boat, RV & Sail Show http://www.chicagoboatshow.com","CHICAGO Boat, RV & Strictly Sail Show http://www.chicagoboatshow.com",33,2.26043605577
18,"International Exhibition on Foundry Technology, Equipment, Supplies & Services(IFEX 2018) http://ifexindia.com","IFEX 2014 - The 10th International Exhibition on Foundry Technology, Equipment and Supplies (IFEX 2014) http://www.ifexindia.com/",209,2.42340545826
19,LA Art Show http://www.laartshow.com/,LA Art Show 2016 http://www.laartshow.com/,31,2.06911298609
20,INDUSTRIAL BUILDING http://www.deubau-essen.de/,DEUBAUKOM http://www.deubau-essen.de/,2303,1.43034882839
21,London Boat Show https://londonboatshow.com/,London Boat Show http://www.londonboatshow.com,8,1.97598963139
22,CBME Turkey 2018 - Istanbul Kids Fashion (IKF) http://istanbulkidsfashion.com/,Istanbul Kids Fashion http://istanbulkidsfashion.com/,4250,2.11291479729
23,"JUNIO SHOW 2018 -  BURSA INTERNATIONAL BABY, KIDSWEAR & KIDS NECESSITIES FAIR http://www.junioshow.com/en/index.html","JUNIO SHOW  Bursa 9th Baby, Kidswear, Kids Necessities Fair http://www.junioshow.com/en/index.html",5567,3.24163073238
24,Vakantiebeurs 2018 http://www.vakantiebeurs.nl,Vakantiebeurs 2016 http://www.vakantiebeurs.nl,32,1.37433202542
25,Automotive Testing Expo 2018 http://www.testing-expo.com/india/,Automotive Testing Expo 2016 http://www.testing-expo.com/india/,1981,1.91350418699
26,Ferien-Messe Wien 2018 http://www.ferien-messe.at,Ferien-Messe Wien 2017 http://www.ferien-messe.at,36,1.92207198466
27,Vienna Auto Show 2018 http://www.viennaautoshow.at/,Vienna Auto Show http://www.viennaautoshow.at/,37,2.25977734032
28,2018 ATA Trade Show http://www.archerytrade.org/trade-show,2016 ATA Trade Show http://www.archerytrade.org/trade-show,30,2.24192343806
29,Midex 2018 - 8th International Exhibition of  Midex http://midex.ir/,"7th Exhibition of  Interior Design , Architecture ,Modern House(Midex 2017) http://midex.ir/",46,1.2890172015
30,InterClasssics Maastricht 2018 https://www.interclassicsmaastricht.nl/,InterClasssics Maastricht 2016 http://www.ic-tm.nl/,38,1.35687297113
31,TOKYO AUTO SALON 2018 http://www.tokyoautosalon.jp/,TOKYO AUTO SALON 2016 http://www.tokyoautosalon.jp/,42,2.2118712813
